order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_time_wrong,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_lng,delivery_gps_lat,ds,terminal_id,terminal_center_lat,terminal_center_lng,region_center_lat,region_center_lng
882073,0,Hangzhou,337,120.1788,30.26403,749,1,2022/6/12 14:22,2025/6/12 14:22,120.1854,30.28071,2025/6/12 15:10,120.17874,30.26405,612,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3207412,0,Hangzhou,337,120.17851,30.26406,749,1,2022/7/3 14:30,2025/7/3 14:30,120.18532,30.28079,2025/7/3 14:58,120.17855,30.264,703,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2358298,0,Hangzhou,337,120.17884,30.26415,749,1,2022/5/5 9:00,2025/5/5 9:00,120.18548,30.28063,2025/5/5 10:27,120.17909,30.26418,505,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
1981906,0,Hangzhou,337,120.17874,30.26373,749,1,2022/5/1 17:28,2025/5/1 17:28,120.18541,30.28063,2025/5/1 18:22,120.17882,30.26365,501,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3216156,0,Hangzhou,337,120.17876,30.26392,749,1,2022/7/10 17:55,2025/7/10 17:55,120.18531,30.28071,2025/7/10 19:28,120.17872,30.26404,710,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
4394911,0,Hangzhou,957,120.17892,30.264,749,1,2022/5/3 13:30,2025/5/3 13:30,120.18549,30.28063,2025/5/3 15:42,120.17892,30.26397,503,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
4019666,0,Hangzhou,957,120.17882,30.26344,749,1,2022/6/5 19:21,2025/6/5 19:21,120.18546,30.28066,2025/6/5 20:05,120.17863,30.26351,605,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
719894,0,Hangzhou,957,120.17879,30.26405,749,1,2022/5/26 13:34,2025/5/26 13:34,120.18545,30.28074,2025/5/26 16:07,120.17883,30.26406,526,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
4131715,0,Hangzhou,957,120.17875,30.26407,749,1,2022/6/16 17:50,2025/6/16 17:50,120.18535,30.28069,2025/6/16 20:18,120.17863,30.264,616,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2510061,0,Hangzhou,957,120.17887,30.26329,749,1,2022/6/18 18:22,2025/6/18 18:22,120.18533,30.28074,2025/6/18 20:57,120.17883,30.26337,618,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3098967,0,Hangzhou,957,120.17882,30.26352,749,1,2022/6/7 17:43,2025/6/7 17:43,120.18531,30.28061,2025/6/7 19:57,120.17884,30.26366,607,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
63958,0,Hangzhou,957,120.17861,30.26408,749,1,2022/6/10 13:50,2025/6/10 13:50,120.18548,30.2807,2025/6/10 15:28,120.17864,30.26403,610,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2209271,0,Hangzhou,957,120.17878,30.26434,749,1,2022/7/4 13:39,2025/7/4 13:39,120.18548,30.28066,2025/7/4 16:12,120.17878,30.26438,704,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
716824,0,Hangzhou,957,120.17872,30.26389,749,1,2022/6/4 13:29,2025/6/4 13:29,120.18549,30.28079,2025/6/4 15:55,120.17883,30.26373,604,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
1030341,0,Hangzhou,957,120.1786,30.26328,749,1,2022/6/28 17:32,2025/6/28 17:32,120.18543,30.28071,2025/6/28 20:07,120.17866,30.26326,628,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
4100968,0,Hangzhou,957,120.17862,30.26312,749,1,2022/7/29 14:41,2025/7/29 14:41,120.18549,30.28073,2025/7/29 16:21,120.17857,30.2632,729,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3275831,0,Hangzhou,957,120.17873,30.26335,749,1,2022/7/13 17:53,2025/7/13 17:53,120.18542,30.28063,2025/7/13 20:55,120.17888,30.26342,713,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3669529,0,Hangzhou,957,120.17876,30.26401,749,1,2022/6/28 13:52,2025/6/28 13:52,120.18539,30.28062,2025/6/28 16:19,120.17879,30.26399,628,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
1055955,0,Hangzhou,957,120.1788,30.26325,749,1,2022/5/25 17:33,2025/5/25 17:33,120.18538,30.28066,2025/5/25 19:21,120.17878,30.26316,525,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2261558,0,Hangzhou,957,120.1789,30.26401,749,1,2022/6/5 19:21,2025/6/5 19:21,120.18535,30.28073,2025/6/5 19:57,120.17914,30.26451,605,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2182792,0,Hangzhou,957,120.17854,30.26409,749,1,2022/6/22 17:33,2025/6/22 17:33,120.18531,30.28074,2025/6/22 19:55,120.17861,30.26402,622,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3834573,0,Hangzhou,957,120.17863,30.26426,749,1,2022/7/21 19:13,2025/7/21 19:13,120.18549,30.28074,2025/7/21 20:33,120.17856,30.26424,721,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2988277,0,Hangzhou,957,120.17898,30.26363,749,1,2022/6/15 13:42,2025/6/15 13:42,120.18535,30.28076,2025/6/15 16:14,120.17897,30.26351,615,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2441034,0,Hangzhou,957,120.17899,30.26345,749,1,2022/6/5 19:21,2025/6/5 19:21,120.18547,30.28066,2025/6/5 20:11,120.17861,30.26347,605,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
181693,0,Hangzhou,957,120.17899,30.26368,749,1,2022/7/24 15:59,2025/7/24 15:59,120.18542,30.28063,2025/7/24 16:06,120.17891,30.26362,724,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2172179,0,Hangzhou,1276,120.17888,30.26401,749,1,2022/6/23 8:40,2025/6/23 8:40,120.18536,30.28072,2025/6/23 9:24,120.18026,30.26302,623,R0_C7,30.26048183,120.1810523,30.28259443,120.1920158
2684817,0,Hangzhou,1276,120.17884,30.2634,749,1,2022/7/9 8:30,2025/7/9 8:30,120.18549,30.28079,2025/7/9 9:23,120.17902,30.2642,709,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
215284,0,Hangzhou,1276,120.17882,30.26341,749,1,2022/6/17 16:16,2025/6/17 16:16,120.18531,30.28073,2025/6/17 17:11,120.17866,30.26321,617,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
118837,0,Hangzhou,1276,120.17895,30.26401,749,1,2022/6/1 14:39,2025/6/1 14:39,120.18539,30.2807,2025/6/1 19:08,120.18595,30.275,601,R0_C13,30.27337235,120.1817658,30.28259443,120.1920158
3536566,0,Hangzhou,1276,120.17884,30.26332,749,1,2022/7/29 14:37,2025/7/29 14:37,120.18546,30.2807,2025/7/29 15:14,120.17908,30.26336,729,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2039003,0,Hangzhou,1276,120.17898,30.26401,749,1,2022/7/27 14:37,2025/7/27 14:37,120.18533,30.28074,2025/7/27 15:08,120.1786,30.26401,727,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3955450,0,Hangzhou,1276,120.17885,30.26334,749,1,2022/7/21 8:26,2025/7/21 8:26,120.18537,30.28068,2025/7/21 9:21,120.17909,30.26367,721,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3246084,0,Hangzhou,1276,120.17885,30.26348,749,1,2022/6/14 8:42,2025/6/14 8:42,120.1854,30.28065,2025/6/14 9:49,120.18075,30.26448,614,R0_C6,30.26695342,120.1818598,30.28259443,120.1920158
3081831,0,Hangzhou,1276,120.17895,30.26402,749,1,2022/6/16 8:22,2025/6/16 8:22,120.18546,30.28079,2025/6/16 9:23,120.17913,30.26422,616,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
1601735,0,Hangzhou,1276,120.1789,30.26407,749,1,2022/6/7 15:44,2025/6/7 15:44,120.18537,30.28079,2025/6/7 16:14,120.17843,30.26419,607,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
968076,0,Hangzhou,1276,120.17889,30.26333,749,1,2022/6/29 14:43,2025/6/29 14:43,120.18541,30.28065,2025/6/29 15:03,120.17824,30.26336,629,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
1853569,0,Hangzhou,1276,120.17883,30.26331,749,1,2022/5/27 13:21,2025/5/27 13:21,120.18537,30.2807,2025/5/27 14:08,120.17897,30.26417,527,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2774605,0,Hangzhou,1276,120.17889,30.26415,749,1,2022/6/18 11:41,2025/6/18 11:41,120.18547,30.28064,2025/6/18 12:47,120.17892,30.26469,618,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2389800,0,Hangzhou,1276,120.17892,30.26403,749,1,2022/6/9 8:48,2025/6/9 8:48,120.18549,30.28064,2025/6/9 9:47,120.17892,30.26393,609,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
1832794,0,Hangzhou,1276,120.1789,30.26415,749,1,2022/7/8 14:35,2025/7/8 14:35,120.18541,30.28063,2025/7/8 14:55,120.17923,30.26433,708,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
3785074,0,Hangzhou,1276,120.17892,30.26331,749,1,2022/6/21 15:16,2025/6/21 15:16,120.18549,30.2807,2025/6/21 16:32,120.17878,30.26374,621,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2936587,0,Hangzhou,1276,120.17892,30.26418,749,1,2022/5/27 8:37,2025/5/27 8:37,120.1854,30.28072,2025/5/27 9:52,120.17881,30.26416,527,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
290309,0,Hangzhou,1276,120.17897,30.26419,749,1,2022/7/1 8:29,2025/7/1 8:29,120.18549,30.28078,2025/7/1 9:17,120.17908,30.26401,701,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
2299068,0,Hangzhou,1276,120.17897,30.26414,749,1,2022/7/17 8:44,2025/7/17 8:44,120.18545,30.28068,2025/7/17 10:02,120.17852,30.26409,717,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
875612,0,Hangzhou,1276,120.17894,30.26404,749,1,2022/7/12 14:59,2025/7/12 14:59,120.18542,30.2807,2025/7/12 15:22,120.1792,30.26451,712,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
1624467,0,Hangzhou,1276,120.17887,30.26413,749,1,2022/6/28 8:23,2025/6/28 8:23,120.18537,30.28079,2025/6/28 9:17,120.17874,30.26403,628,R0_C9,30.263329,120.1773876,30.28259443,120.1920158
